source,target,weight
67,1457,0.035264
68,1206,0.111139
68,1170,0.076989
68,1157,0.201272
68,2285,0.117503
68,454,0.051518
68,2445,0.037828
68,2439,0.080135
68,2192,0.06501
68,2010,0.088518
68,1833,0.058085
68,2079,0.04521
68,1246,0.086253
68,1073,0.036871
68,1171,0.045821
68,347,0.071247
68,1360,0.146395
69,2698,0.042533
70,353,0.037898
70,2216,0.061484
70,1757,0.085807
70,1880,0.082005
70,1295,0.114293
70,428,0.038578
70,2293,0.043688
70,1106,0.072654
70,1384,0.07369
70,155,0.046641
70,1837,0.05271
70,2221,0.058575
70,1599,0.045632
71,145,0.075332
71,2086,0.070011
71,190,0.12091
71,1796,0.09548
71,1435,0.052358
71,2447,0.043363
71,1936,0.049783
71,200,0.118969
71,1655,0.056032
71,1797,0.086237
71,1686,0.045528
71,1236,0.084916
71,2047,0.056316
71,1933,0.043206
71,1749,0.037581
72,220,0.166068
72,1887,0.04976
72,1802,0.184184
72,832,0.176473
72,1462,0.143853
72,2386,0.053285
72,650,0.053263
72,479,0.061416
72,491,0.062615
72,2437,0.080701
72,822,0.040802
72,1192,0.043249
73,1674,0.05698
73,1182,0.0583
73,2471,0.045175
74,1028,0.036086
74,1470,0.044682
74,150,0.039171
75,167,0.081732
76,781,0.081015
76,1523,0.044529
76,1971,0.036266
76,172,0.055897
77,470,0.076238
77,1274,0.118375
77,2310,0.053464
78,138,0.055003
78,793,0.056188
78,2473,0.208436
78,2627,0.095916
79,675,0.045367
79,686,0.044808
79,2115,0.065972
79,2463,0.156969
79,922,0.055363
79,587,0.04414
79,742,0.054474
79,222,0.093663
79,297,0.048512
80,643,0.067771
80,178,0.086053
80,2038,0.054778
80,2027,0.057234
81,1385,0.22612
81,2340,0.059164
81,970,0.0637
82,1612,0.102718
82,926,0.053516
83,1675,0.041531
84,277,0.362936
84,1911,0.099886
84,2377,0.063302
84,2211,0.04531
85,782,0.06368
85,393,0.107349
85,575,0.049239
85,1286,0.062348
85,518,0.054358
86,2040,0.038018
86,118,0.190543
86,442,0.145639
86,1714,0.054418
86,301,0.06512
86,595,0.174734
86,314,0.107376
86,2591,0.047099
86,117,0.134752
86,855,0.044538
86,839,0.065078
86,2018,0.038462
87,88,0.044814
87,284,0.060234
87,300,0.043493
87,620,0.096592
87,1975,0.096959
87,2537,0.041799
88,885,0.038467
88,2052,0.063155
89,395,0.072763
89,1923,0.087952
89,1643,0.120497
90,529,0.049278
90,996,0.115306
90,1735,0.051042
90,2696,0.140629
90,842,0.066054
90,546,0.1096
90,2122,0.046596
90,1267,0.086397
90,1325,0.039964
90,688,0.081107
90,483,0.058579
90,696,0.039704
91,2545,0.04453
91,2068,0.037845
91,1812,0.108997
91,2799,0.077351
92,2136,0.060342
92,256,0.076859
92,1950,0.099597
92,1945,0.050141
94,143,0.159979
94,142,0.099066
94,2259,0.048256
94,2461,0.040241
94,2026,0.255175
95,139,0.039758
95,598,0.052319
95,2575,0.090536
96,886,0.047797
96,680,0.044186
96,318,0.08471
96,1387,0.047368
96,1878,0.081063
97,780,0.058057
97,916,0.145255
98,686,0.035029
98,749,0.057496
98,2652,0.060637
98,436,0.138402
98,447,0.053104
98,1839,0.054838
98,428,0.038819
99,884,0.095511
99,644,0.041567
99,1790,0.076556
99,246,0.109867
99,611,0.040259
99,774,0.037904
99,1009,0.047354
99,1639,0.062835
99,563,0.084094
99,1035,0.063643
101,1637,0.067426
101,965,0.124601
102,2480,0.075903
102,645,0.050671
102,1318,0.112674
102,1988,0.084135
102,2700,0.104204
102,1101,0.13226
102,1228,0.077626
103,742,0.204586
103,121,0.035678
103,2873,0.088156
103,2375,0.043937
103,1293,0.057332
103,356,0.047415
103,2631,0.040653
103,1326,0.131696
104,786,0.0474
104,145,0.038535
104,2308,0.104526
104,2505,0.11001
104,217,0.071756
105,353,0.059082
105,691,0.107496
105,980,0.059472
105,2732,0.099047
105,670,0.042597
105,474,0.046775
105,2300,0.055468
105,2793,0.049862
105,294,0.118028
105,253,0.078687
105,2443,0.060188
105,1832,0.072069
105,2188,0.124506
105,2628,0.036985
105,902,0.035964
105,1459,0.129416
105,2823,0.043145
107,1999,0.050002
107,232,0.098911
107,1661,0.068895
108,2405,0.04982
109,947,0.056962
109,160,0.03507
109,1835,0.049504
109,1331,0.069751
109,1920,0.037122
110,1949,0.039163
111,1709,0.055119
